"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"arm0","arm0","c","Lcom/mojang/minecraft/character/Cube;","Lcom/mojang/minecraft/e/b;","com/mojang/minecraft/character/ZombieModel","com/mojang/minecraft/e/c","com/mojang/minecraft/character","0"
"body","body","b","Lcom/mojang/minecraft/character/Cube;","Lcom/mojang/minecraft/e/b;","com/mojang/minecraft/character/ZombieModel","com/mojang/minecraft/e/c","com/mojang/minecraft/character","0"
"leg0","leg0","e","Lcom/mojang/minecraft/character/Cube;","Lcom/mojang/minecraft/e/b;","com/mojang/minecraft/character/ZombieModel","com/mojang/minecraft/e/c","com/mojang/minecraft/character","0"
"arm1","arm1","d","Lcom/mojang/minecraft/character/Cube;","Lcom/mojang/minecraft/e/b;","com/mojang/minecraft/character/ZombieModel","com/mojang/minecraft/e/c","com/mojang/minecraft/character","0"
"leg1","leg1","f","Lcom/mojang/minecraft/character/Cube;","Lcom/mojang/minecraft/e/b;","com/mojang/minecraft/character/ZombieModel","com/mojang/minecraft/e/c","com/mojang/minecraft/character","0"
"z","z","c","I","I","com/mojang/minecraft/HitResult","com/mojang/minecraft/f","com/mojang/minecraft","0"
"y","y","b","I","I","com/mojang/minecraft/HitResult","com/mojang/minecraft/f","com/mojang/minecraft","0"
"f","f","d","I","I","com/mojang/minecraft/HitResult","com/mojang/minecraft/f","com/mojang/minecraft","0"
"x","x","a","I","I","com/mojang/minecraft/HitResult","com/mojang/minecraft/f","com/mojang/minecraft","0"
"z","z","c","F","F","com/mojang/minecraft/character/Vec3","com/mojang/minecraft/e/f","com/mojang/minecraft/character","0"
"x","x","a","F","F","com/mojang/minecraft/character/Vec3","com/mojang/minecraft/e/f","com/mojang/minecraft/character","0"
"y","y","b","F","F","com/mojang/minecraft/character/Vec3","com/mojang/minecraft/e/f","com/mojang/minecraft/character","0"
"keys","keys","a","[Z","[Z","com/mojang/minecraft/Player","com/mojang/minecraft/e","com/mojang/minecraft","0"
"fontTexture","fontTexture","b","I","I","com/mojang/minecraft/gui/Font","com/mojang/minecraft/c/g","com/mojang/minecraft/gui","0"
"charWidths","charWidths","a","[I","[I","com/mojang/minecraft/gui/Font","com/mojang/minecraft/c/g","com/mojang/minecraft/gui","0"
"u","u","b","F","F","com/mojang/minecraft/character/Vertex","com/mojang/minecraft/e/e","com/mojang/minecraft/character","0"
"v","v","c","F","F","com/mojang/minecraft/character/Vertex","com/mojang/minecraft/e/e","com/mojang/minecraft/character","0"
"pos","pos","a","Lcom/mojang/minecraft/character/Vec3;","Lcom/mojang/minecraft/e/f;","com/mojang/minecraft/character/Vertex","com/mojang/minecraft/e/e","com/mojang/minecraft/character","0"
"sessionId","sessionId","b","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/User","com/mojang/minecraft/d","com/mojang/minecraft","0"
"name","name","a","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/User","com/mojang/minecraft/d","com/mojang/minecraft","0"
"yMouseAxis","yMouseAxis","x","I","I","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"pause","pause","g","Z","Z","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"selectBuffer","selectBuffer","F","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"text","text","J","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"running","running","l","Z","Z","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"hitResult","hitResult","G","Lcom/mojang/minecraft/HitResult;","Lcom/mojang/minecraft/f;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"parent","parent","v","Ljava/awt/Canvas;","Ljava/awt/Canvas;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"title","title","I","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"viewportBuffer","viewportBuffer","E","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"loadMapUser","loadMapUser","j","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"fogColor1","fogColor1","o","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"width","width","a","I","I","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"screen","screen","A","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/c/d;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"player","player","r","Lcom/mojang/minecraft/Player;","Lcom/mojang/minecraft/e;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"fullscreen","fullscreen","m","Z","Z","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"emptyCursor","emptyCursor","w","Lorg/lwjgl/input/Cursor;","Lorg/lwjgl/input/Cursor;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"editMode","editMode","z","I","I","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"entities","entities","u","Ljava/util/ArrayList;","Ljava/util/ArrayList;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"mouseGrabbed","mouseGrabbed","D","Z","Z","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"textures","textures","y","Lcom/mojang/minecraft/renderer/Textures;","Lcom/mojang/minecraft/b/a;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"timer","timer","p","Lcom/mojang/minecraft/Timer;","Lcom/mojang/minecraft/a;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"minecraftUri","minecraftUri","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"lb","lb","H","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"font","font","h","Lcom/mojang/minecraft/gui/Font;","Lcom/mojang/minecraft/c/g;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"fogColor0","fogColor0","n","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"level","level","c","Lcom/mojang/minecraft/level/Level;","Lcom/mojang/minecraft/a/f;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"height","height","b","I","I","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"levelGen","levelGen","B","Lcom/mojang/minecraft/level/levelgen/LevelGen;","Lcom/mojang/minecraft/a/b/a;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"particleEngine","particleEngine","t","Lcom/mojang/minecraft/particle/ParticleEngine;","Lcom/mojang/minecraft/d/a;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"paintTexture","paintTexture","s","I","I","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"fpsString","fpsString","C","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"appletMode","appletMode","f","Z","Z","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"levelRenderer","levelRenderer","q","Lcom/mojang/minecraft/level/LevelRenderer;","Lcom/mojang/minecraft/a/e;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"loadMapID","loadMapID","k","I","I","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"user","user","d","Lcom/mojang/minecraft/User;","Lcom/mojang/minecraft/d;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"levelIo","levelIo","i","Lcom/mojang/minecraft/level/LevelIO;","Lcom/mojang/minecraft/a/a;","com/mojang/minecraft/Minecraft","com/mojang/minecraft/c","com/mojang/minecraft","0"
"distort","distort","b","Lcom/mojang/minecraft/level/levelgen/synth/Synth;","Lcom/mojang/minecraft/a/b/a/c;","com/mojang/minecraft/level/levelgen/synth/Distort","com/mojang/minecraft/a/b/a/a","com/mojang/minecraft/level/levelgen/synth","0"
"source","source","a","Lcom/mojang/minecraft/level/levelgen/synth/Synth;","Lcom/mojang/minecraft/a/b/a/c;","com/mojang/minecraft/level/levelgen/synth/Distort","com/mojang/minecraft/a/b/a/a","com/mojang/minecraft/level/levelgen/synth","0"
"applet","applet","a","Lcom/mojang/minecraft/MinecraftApplet;","Lcom/mojang/minecraft/MinecraftApplet;","com/mojang/minecraft/CanvasMinecraftApplet","com/mojang/minecraft/b","com/mojang/minecraft","0"
"timeScale","timeScale","e","F","F","com/mojang/minecraft/Timer","com/mojang/minecraft/a","com/mojang/minecraft","0"
"a","a","d","F","F","com/mojang/minecraft/Timer","com/mojang/minecraft/a","com/mojang/minecraft","0"
"lastTime","lastTime","b","J","J","com/mojang/minecraft/Timer","com/mojang/minecraft/a","com/mojang/minecraft","0"
"ticksPerSecond","ticksPerSecond","a","F","F","com/mojang/minecraft/Timer","com/mojang/minecraft/a","com/mojang/minecraft","0"
"ticks","ticks","c","I","I","com/mojang/minecraft/Timer","com/mojang/minecraft/a","com/mojang/minecraft","0"
"fps","fps","f","F","F","com/mojang/minecraft/Timer","com/mojang/minecraft/a","com/mojang/minecraft","0"
